Geography,Jan-00,Feb-00,Mar-00,Apr-00,May-00,Jun-00,Jul-00,Aug-00,Sep-00,Oct-00,Nov-00,Dec-00,Jan-01,Feb-01,Mar-01,Apr-01,May-01,Jun-01,Jul-01,Aug-01,Sep-01,Oct-01,Nov-01,Dec-01,Jan-02,Feb-02,Mar-02,Apr-02,May-02,Jun-02,Jul-02,Aug-02,Sep-02,Oct-02,Nov-02,Dec-02,Jan-03,Feb-03,Mar-03,Apr-03,May-03,Jun-03,Jul-03,Aug-03,Sep-03,Oct-03,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25
Canada,137.194,149.904,154.401,156.762,144.354,132.265,166.648,149.76,164.996,165.958,156.917,144.483,161.758,145.835,150.896,165.747,159.603,176.424,148.906,167.233,158.249,169.767,174.11,177.444,214.398,183.751,203.966,192.038,211.073,205.043,198.543,216.318,199.001,224.926,218.228,197.564,189.151,240.42,197.668,210.125,195.586,208.457,225.854,239.978,233.928,253.644,216.591,216.338,193.841,217.36,244.495,241.873,232.741,233.477,224.283,267.432,239.122,239.312,246.431,229.102,185.278,212.311,213.14,251.213,223.409,237.053,249.838,209.411,232.163,219.023,235.79,233.376,223.622,238.095,249.27,233.636,220.93,241.79,241.986,211.143,204.137,231.099,234.741,210.977,244.867,197.478,220.742,226.127,236.755,228.934,223.292,231.607,288.644,233.336,233.383,175.368,202.649,234.342,237.36,223.303,229.034,223.885,194.766,219.132,229.421,219.776,169.588,150.305,132.314,115.722,141.138,111.781,127.857,142.729,137.567,165.384,166.608,187.728,173.636,173.152,191.133,202.734,196.249,206.946,200.366,191.104,196.099,192.432,186.677,174.102,194.104,166.823,170.157,179.438,185.08,187.901,192.62,196.358,209.943,191.82,209.371,212.64,185.13,200.189,203.029,207.023,213.861,253.254,212.996,221.459,212.445,231.712,223.856,205.916,199.376,200.005,164.443,184.818,181.99,179.311,195.145,191.62,197.29,187.634,194.821,199.944,193.84,185.521,185.19,191.756,162.746,198.32,195.657,195.014,202.591,195.869,191.724,179.739,193.39,177.296,187.115,147.197,192.597,181.815,199.576,201.871,192.203,216.496,224.455,195.835,212.762,171.248,177.219,213.427,201.172,191.12,191.982,218.07,199.191,187.631,215.556,194.172,185.786,202.693,206.567,208.686,245.562,212.852,198.484,209.111,229.448,227.274,218.566,220.517,248.331,214.309,216.76,229.432,221.226,211.956,196.246,241.899,201.553,197.116,193.498,213.713,224.465,214.99,200.484,163.048,192.596,229.417,196.581,242.624,219.724,225.555,225.848,204.753,201.775,199.555,200.082,209.589,189.117,161.004,192.551,213.167,244.851,263.63,214.476,227.492,259.934,240.421,291.29,260.922,319.843,272.344,283.092,283.769,274.472,259.63,250.714,236.588,305.206,247.179,229.125,248.877,245.69,262.693,280.961,273.565,277.195,266.521,294.615,261.632,259.518,252.115,209.122,245.635,213.41,260.213,197.016,281.644,252.824,247.32,265.197,270.621,208.445,250.576,231.158,259.921,242.296,241.565,268.069,241.407,275.534,212.923,224.089,245.019,267.301,231.614,233.414,220.774,214.339,281.806,281.763,282.348,293.186,244.543,279.234
Newfoundland and Labrador,2.098,1.935,3.723,1.96,1.265,1.069,1.703,1.522,1.356,1.552,1.154,1.156,1.029,0.616,1.045,1.751,1.718,1.789,2.052,1.893,1.882,1.457,2.099,2.056,1.989,2.197,2.315,2.594,2.677,2.362,2.714,1.729,2.173,3.362,2.54,2.406,1.035,1.577,1.342,3.074,3.343,3.137,2.438,2.429,2.284,3.267,3.192,2.554,2.208,4.023,2.358,2.973,2.542,3.375,3.025,2.492,2.677,3.247,3.067,2.895,2.223,3.36,2.251,2.283,2.691,2.292,2.512,2.619,2.581,2.565,2.26,2.768,2.485,3.267,1.668,1.576,2.005,2.563,2.191,2.54,2.569,1.959,2.228,2.113,2.435,2.996,1.628,2.163,2.187,2.728,2.708,2.657,2.925,2.693,3.473,2.958,2.199,2.589,2.992,2.186,3.512,3.005,3.109,4.031,3.605,3.583,3.262,3.8,3.9,2.616,2.719,2.474,2.876,2.779,3.358,2.74,2.867,3.122,3.437,3.911,5.32,5.306,5.773,3.845,4.251,4.148,3.383,3.508,3.22,3.377,2.98,3.226,4.351,3.424,4.389,2.42,3.441,4.25,3.88,3.102,3.559,3.211,3.853,2.988,5.706,3.094,3.41,5.06,3.827,3.628,4.982,4.011,4.07,3.185,3.573,3.888,3.161,2.654,3.017,3.669,3.032,2.985,2.392,2.52,2.865,3.1,3.098,2.617,2.206,4.946,1.252,1.674,2.282,2.43,2.255,2.354,1.921,2.131,1.878,1.691,5.761,1.204,1.122,0.858,1.713,1.61,1.802,1.645,1.461,1.756,1.777,1.422,2.776,2.064,1.192,1.215,1.581,1.425,1.18,1.534,1.334,1.576,1.203,1.242,1.161,1.36,0.854,0.913,1.06,1.417,1.803,1.415,1.157,1.72,1.78,1.957,1.629,1.23,6.189,1.018,0.827,1.002,1.39,1.188,1.142,0.841,0.877,0.921,0.628,0.651,0.615,0.571,0.74,0.98,0.783,0.985,1.083,1.2,1.33,1.152,0.726,0.799,0.487,0.416,0.358,0.682,0.969,0.877,0.802,0.908,1.216,0.882,1.796,1.205,1.295,1.071,1.146,1.218,0.828,0.644,0.877,1.122,0.891,1.403,1.837,1.778,2.298,1.602,1.442,1.068,1.599,1.527,1.09,0.681,0.784,2.76,0.796,0.842,0.871,0.848,0.778,0.793,1.19,1.268,1.36,0.915,0.894,1.213,2.494,1.689,1.154,1.681,1.231,1.696,1.487,1.877,1.609,1.875,2.269,1.811,1.334,1.283,1.165,2.092,1.582,1.65,1.445,1.117,1.443
Prince Edward Island,1.403,1.239,1.37,0.468,0.658,0.689,0.646,0.84,0.547,0.944,0.672,0.689,0.979,0.431,0.534,0.419,0.46,0.434,1.155,0.612,0.787,0.802,1.008,0.502,0.259,0.499,0.499,0.718,1.241,0.526,1.912,0.799,0.659,0.696,0.453,0.605,0.783,0.748,0.563,0.683,0.966,1.38,1.276,0.503,0.708,0.744,0.636,0.928,1.021,0.521,0.796,0.978,1.067,1.61,1.029,0.738,0.719,0.745,0.767,0.721,1.146,2.135,0.939,0.475,1.091,0.953,0.707,0.872,0.799,0.587,0.858,1.15,1.374,1.2,0.525,0.519,0.648,0.716,0.632,1.211,0.326,0.65,0.669,0.708,0.586,0.787,0.615,0.771,0.665,0.952,0.668,0.742,0.823,0.596,1.242,0.525,0.582,0.589,0.524,0.917,0.917,0.815,0.702,0.816,0.531,0.643,0.796,0.721,0.436,0.413,0.317,0.47,0.968,1.362,0.703,1.141,1.007,1.392,1.044,1.046,0.563,0.212,0.333,0.546,1.439,1.125,0.717,0.972,0.542,0.332,0.922,1.169,1.025,0.567,0.551,0.715,0.885,0.771,1.191,0.961,1.308,1.108,1.466,0.851,0.44,0.562,0.382,1.212,0.723,1.423,1.259,1.122,1.413,0.823,0.797,1.279,1.659,0.433,0.382,0.47,0.979,0.859,0.526,0.247,0.654,0.324,0.36,0.7,0.389,0.417,0.324,0.35,0.858,0.736,0.414,0.329,0.398,0.848,0.504,0.665,0.997,0.296,0.211,0.15,0.366,0.552,0.487,0.62,0.798,1.227,0.517,0.243,0.619,0.186,0.244,0.483,0.96,0.359,0.563,1.031,0.918,0.265,0.461,0.332,0.965,0.582,1.213,0.623,0.846,1.387,1.032,0.728,1.231,0.867,1.171,0.687,0.502,0.799,0.885,1.736,0.797,0.999,0.567,0.901,1.045,0.655,2.072,1.449,0.939,0.475,0.218,0.763,1.291,2.246,1.845,0.91,1.927,1.635,1.34,1.905,0.696,1.627,0.557,0.835,1.237,2.209,0.609,2.222,0.692,0.717,1.188,0.604,1.47,0.758,0.592,1.062,1.488,1.711,1.752,1.057,0.687,1.433,1.244,0.697,0.452,0.635,1.678,1.351,1.026,1.024,0.91,1.238,0.378,1.078,1.712,1.012,0.793,0.995,0.724,1.059,0.469,0.548,1.409,1.476,0.387,1.203,0.754,0.721,1.643,0.504,1.157,0.497,1.716,0.728,2.627,0.978,0.677,1.803,0.421,1.755,3.447,1.344,0.737,2.21,0.58,0.75,3.762,3.042,1.283
Nova Scotia,3.904,4.537,4.658,4.28,5.552,4.3,5.784,7.017,2.639,3.838,3.387,3.606,4.512,3.896,2.535,4.338,3.02,4.731,5.532,4.948,2.942,3.171,4.366,4.978,6.023,4.041,3.34,4.369,5.168,5.501,3.746,5.46,4.092,5.074,5.735,7.671,3.48,4.373,5.904,3.64,3.806,6.063,6.205,4.769,4.243,2.776,6.692,8.923,3.542,2.402,5.213,3.698,4.279,5.964,4.481,5.696,5.631,3.908,3.764,6.977,3.559,3.202,3.148,6.247,6.048,4.464,5.034,6.441,3.833,4.603,5.729,4.636,5.402,4.125,4.9,5.912,5.963,4.517,6.089,3.672,3.933,3.977,6.391,4.368,5.814,3.985,2.56,2.91,4.926,5.48,4.242,6.698,5.643,5.256,4.503,4.342,3.13,3.447,6.312,3.98,3.651,4.161,5.403,3.325,4.715,3.919,3.449,2.763,2.454,2.879,2.821,2.153,3.104,2.789,3.464,4.593,5.837,4.485,2.642,3.186,2.83,6.699,3.611,4.685,5.731,3.249,7.012,3.249,4.28,5.246,3.619,2.796,4.878,4.024,3.572,4.566,4.847,3.681,5.905,4.048,6.182,3.018,2.802,8.437,3.055,4.234,4.211,3.339,4.313,4.157,3.039,6.984,6.08,9.059,3.123,3.13,7.312,1.544,4.792,2.629,5.251,2.856,4.376,2.463,5.176,5.61,2.328,2.454,1.794,1.722,2.3,1.852,3.375,2.718,5.549,3.99,4.194,2.57,3.489,3.138,2.867,1.834,2.01,2.808,7.611,7.692,6.132,3.677,5.147,2.194,2.707,1.63,1.497,4.528,1.714,2.313,4.713,4.894,3.856,2.413,5.525,4.604,4.74,3.671,3.752,5.805,1.854,6.578,4.57,2.614,4.427,3.459,5.383,2.668,3.551,3.566,5.007,5.484,3.13,3.994,3.944,6.339,6.553,5.414,6.846,2.754,3.797,5.351,3.366,3.493,4.953,3.913,3.819,8.077,4.382,5.514,4.267,3.22,4.048,6.81,2.958,8.102,2.897,2.543,3.806,2.853,8.07,3.89,6.469,2.699,8.178,6.451,6.676,5.665,4.77,3.736,9.175,2.597,5.32,2.429,4.2,9.587,7.804,9.664,7.931,3.952,2.965,2.529,11.698,5.68,9.206,5.806,3.653,3.633,4.994,5.645,3.615,4.631,4.202,4.696,5.524,14.013,6.112,3.209,8.897,10.022,12.95,7.926,6.874,13.076,8.594,7.97,8.843,12.038,6.401,3.985,4.505,4.567,6.292,5.968,8.528,7.638,7.65,13.617,9.613,9.271,17.835,7.663,6.551
New Brunswick,4.167,2.681,2.659,2.507,2.308,2.445,3.95,3.205,5.196,2.678,3.388,2.038,4.674,4.642,2.74,2.633,2.613,3.942,4.113,3.531,4.245,4.511,2.786,3.976,2.46,2.853,2.394,4.321,3.697,4.948,3.241,3.011,3.893,4.938,6.336,3.822,4.967,4.531,3.499,5.351,4.363,4.344,6.357,4.77,4.302,3.819,4.24,4.853,2.542,2.329,2.401,3.825,4.308,4.069,4.385,4.017,4.431,3.587,4.277,5.206,2.826,3.023,3.294,3.901,4.78,4.662,4.231,4.173,3.505,5.434,3.62,3.898,4.738,3.469,2.932,4.458,3.468,7.009,4.74,3.894,4.403,3.351,3.794,3.733,3.778,3.162,3.289,4.06,4.273,4.502,4.905,5.175,5.12,3.897,3.911,4.406,5.122,4.817,4.041,3.562,5.553,5.163,4.807,3.572,5.031,5.152,3.745,2.713,3.41,2.949,3.056,3.077,4.2,3.588,4.069,3.594,3.463,3.743,3.624,3.359,5.338,3.162,4.829,3.39,4.368,4.405,6.439,5.177,2.572,5.831,3.829,3.082,2.045,1.1,1.445,2.958,2.824,3.674,6.323,2.863,5.047,3.593,3.497,3.833,3.004,1.64,2.31,3.051,4.115,4.296,3.021,3.348,6.102,2.856,2.947,2.392,2.658,2.841,1.642,1.378,3.656,4.338,2.109,3.679,2.961,2.762,2.917,3.165,2.433,2.922,1.37,1.208,1.44,2.569,4.851,2.854,1.913,2.462,2.253,1.564,1.831,1.619,1.017,0.89,1.416,2.495,2.481,2.22,2.882,2.174,2.548,1.784,1.441,1.013,1.232,1.61,2.89,1.523,1.169,1.654,3.596,2.361,1.999,1.756,2.003,0.907,1.554,1.296,2.468,2.009,2.044,1.473,3.869,3.613,2.726,2.856,2.07,1.479,1.752,1.377,2.121,3.281,2.658,1.746,2.75,2.913,2.967,2.78,1.975,1.043,1.237,1.894,2.352,5.769,3.185,4.201,4.519,2.178,4.546,1.537,2.101,1.729,2.943,2.129,3.316,2.525,7.218,4.491,2.512,2.143,5.241,6.72,2.804,2.02,0.993,4.399,6.764,4.28,5.61,4.143,2.833,3.156,5.007,4.319,1.662,1.314,4.788,2.621,8.702,5.493,5.454,6.245,5.213,2.536,8.922,2.641,2.723,2.512,2.731,5.574,4.497,4.636,4.509,6.696,6.113,5.14,5.858,5.011,4.33,6.006,2.203,4.411,8.75,6.299,5.074,9.752,9.044,5.71,7.568,5.832,3.071,6.318,6.468,4.07,8.64,9.367,11.31,9.77,7.456
Alberta,24.358,23.002,24.454,24.009,30.478,24.323,26.917,27.498,29.708,26.022,28.507,26.342,27.505,22.035,24.087,28.889,29.718,30.177,26.791,28.45,29.781,34.957,33.646,32.936,35.588,34.322,41.656,38.196,40.943,41.931,29.749,41.429,38.534,44.894,42.128,37.722,30.71,40.411,36.747,37.46,35.107,36.08,37.252,38.049,38.755,36.056,36.253,33.603,31.788,37.446,33.733,30.751,28.665,42.949,31.472,34.602,38.133,42.673,43.739,39.576,30.737,36.069,36.708,45.662,47.216,35.011,35.853,37.497,48.647,45.224,45.277,44.857,41.892,52.013,55.892,47.377,51.037,56.401,49.46,45.32,45.596,40.083,58.557,45.262,53.997,47.232,57.338,53.659,49.423,45.002,42.487,49.303,59.924,47.421,42.663,34.223,36.097,31.198,56.375,32.004,35.389,22.324,28.024,22.709,24.672,24.901,19.792,17.696,16.514,12.165,12.267,12.661,14.212,20.354,19.608,20.837,24.873,29.24,29.671,27.858,25.833,28.065,33.837,35.202,29.454,26.902,29.259,23.419,27.477,26.084,21.969,21.044,19.804,21.717,20.523,20.6,25.738,23.44,25.294,31.342,25.444,33.415,30.196,29.005,26.095,31.388,34.978,38.679,33.771,34.159,33.53,29.488,34.29,32.886,39.699,30.457,30.691,34.555,34.01,39.816,42.869,38.45,35.948,29.337,31.818,36.962,43.008,35.878,38.995,35.334,39.928,40.077,34.694,54.159,38.662,44.314,47.31,40.442,38.256,34.593,43.347,43.181,50.964,31.928,34.043,42.007,34.891,34.985,36.352,31.264,42.155,25.129,23.312,22.664,22.771,29.122,22.475,24.271,25.453,19.674,28.335,25.696,25.182,26.474,18.287,27.029,35.59,31.673,32.292,30.695,33.628,25.451,28.945,30.326,34.64,23.306,25.238,23.986,27.083,30.106,35.727,25.861,30.161,33.01,22.224,17.607,25.621,18.646,24.689,20.499,19.594,25.708,22.648,32.058,29.834,30.665,33.421,24.164,26.341,38.609,20.681,19.748,31.445,22.686,18.617,14.961,23.38,20.87,26.625,32.827,27.104,31.457,30.336,27.068,28.043,32.692,34.97,29.756,31.338,31.103,26.409,36.38,42.543,32.531,25.374,31.421,32.254,41.274,46.498,38.485,41.38,33.661,40.973,47.21,31.728,26.931,27.472,30.319,26.814,27.6,36.811,26.429,38.925,40.149,48.825,41.147,41.896,44.234,41.918,49.207,40.093,45.984,48.548,42.391,51.376,48.075,46.576,53.95,60.898,44.646,47.886,56.189,52.953,63.441,68.961,63.59,51.111,47.117,54.628
